,date,time,static
364,('date=2021-06-23', 'time=12:27:21'," 'down""')"
365,('date=2021-06-23', 'time=12:27:19'," 'down""')"
371,('date=2021-06-23', 'time=11:37:08'," 'up""')"
372,('date=2021-06-23', 'time=11:37:07'," 'up""')"
373,('date=2021-06-23', 'time=11:24:55'," 'down""')"
374,('date=2021-06-23', 'time=11:24:53'," 'down""')"
378,('date=2021-06-23', 'time=10:51:55'," 'up""')"
379,('date=2021-06-23', 'time=10:51:55'," 'up""')"
380,('date=2021-06-23', 'time=10:41:21'," 'down""')"
381,('date=2021-06-23', 'time=10:41:19'," 'down""')"
385,('date=2021-06-23', 'time=10:09:40'," 'up""')"
386,('date=2021-06-23', 'time=10:09:40'," 'up""')"
387,('date=2021-06-23', 'time=10:00:22'," 'down""')"
388,('date=2021-06-23', 'time=09:58:00'," 'up""')"
389,('date=2021-06-23', 'time=09:57:59'," 'up""')"
390,('date=2021-06-23', 'time=09:43:03'," 'down""')"
391,('date=2021-06-23', 'time=09:43:03'," 'down""')"
432,('date=2021-06-23', 'time=02:58:57'," 'up""')"
433,('date=2021-06-23', 'time=02:58:55'," 'up""')"
434,('date=2021-06-23', 'time=02:58:44'," 'down""')"
435,('date=2021-06-23', 'time=02:58:44'," 'down""')"
437,('date=2021-06-23', 'time=02:42:15'," 'up""')"
438,('date=2021-06-23', 'time=02:42:14'," 'up""')"
439,('date=2021-06-23', 'time=02:36:14'," 'down""')"
440,('date=2021-06-23', 'time=02:34:38'," 'up""')"
441,('date=2021-06-23', 'time=02:34:37'," 'up""')"
442,('date=2021-06-22', 'time=22:39:47'," 'down""')"
443,('date=2021-06-22', 'time=22:38:58'," 'up""')"
444,('date=2021-06-22', 'time=22:38:58'," 'up""')"
445,('date=2021-06-22', 'time=22:16:18'," 'down""')"
446,('date=2021-06-22', 'time=22:16:16'," 'down""')"
451,('date=2021-06-22', 'time=21:27:26'," 'up""')"
452,('date=2021-06-22', 'time=21:27:25'," 'up""')"
453,('date=2021-06-22', 'time=20:40:06'," 'down""')"
454,('date=2021-06-22', 'time=20:33:10'," 'up""')"
455,('date=2021-06-22', 'time=20:33:09'," 'up""')"
456,('date=2021-06-22', 'time=18:12:59'," 'down""')"
457,('date=2021-06-22', 'time=18:12:59'," 'down""')"
505,('date=2021-06-22', 'time=10:12:58'," 'up""')"
506,('date=2021-06-22', 'time=10:12:57'," 'up""')"
507,('date=2021-06-21', 'time=19:01:41'," 'down""')"
512,('date=2021-06-21', 'time=18:21:08'," 'up""')"
513,('date=2021-06-21', 'time=18:21:07'," 'up""')"
514,('date=2021-06-21', 'time=16:27:46'," 'down""')"
515,('date=2021-06-21', 'time=16:27:46'," 'down""')"
518,('date=2021-06-21', 'time=16:01:38'," 'up""')"
519,('date=2021-06-21', 'time=16:01:32'," 'up""')"
520,('date=2021-06-21', 'time=15:58:42'," 'down""')"
521,('date=2021-06-21', 'time=15:58:41'," 'down""')"
522,('date=2021-06-21', 'time=15:57:56'," 'up""')"
523,('date=2021-06-21', 'time=15:57:56'," 'up""')"
524,('date=2021-06-21', 'time=15:47:37'," 'down""')"
525,('date=2021-06-21', 'time=15:47:35'," 'down""')"
527,('date=2021-06-21', 'time=15:30:07'," 'up""')"
528,('date=2021-06-21', 'time=15:30:07'," 'up""')"
529,('date=2021-06-21', 'time=14:30:50'," 'down""')"
530,('date=2021-06-21', 'time=14:30:49'," 'down""')"
531,('date=2021-06-21', 'time=14:25:37'," 'up""')"
532,('date=2021-06-21', 'time=14:25:31'," 'up""')"
